Ülke/bölge,Mağaza girişi ziyaretçileri,Mağaza girişi ziyaretçileri ile önceki dönemin karşılaştırması,Mağaza girişi edinme sayısı,Mağaza girişi edinme sayısı ile önceki dönemin karşılaştırması,Mağaza girişi dönüşüm oranı,Mağaza girişi dönüşüm oranı ile önceki dönemin karşılaştırması,Benzer uygulamaların 28 günlük dönüşüm oranı: Bulmaca (25. yüzde birlik dilim),Benzer uygulamaların 28 günlük dönüşüm oranı: Bulmaca (50. yüzde birlik dilim),Benzer uygulamaların 28 günlük dönüşüm oranı: Bulmaca (75. yüzde birlik dilim)
Tüm ülkeler / bölgeler,119,-,19,-,"%15,97",-,"%10,91","%18,66","%30,29"
Güney Kore,51,-,0,-,%0,-,"%8,18","%15,07","%26,86"
Türkiye,44,-,18,-,"%40,91",-,%10,"%17,45","%28,4"
Ukrayna,4,-,0,-,%0,-,"%9,86","%17,52","%28,25"
Endonezya,3,-,0,-,%0,-,"%9,02","%15,49","%25,52"
Bilinmeyen Bölge,3,-,0,-,%0,-,"%0,58","%1,65","%3,77"
Yunanistan,2,-,0,-,%0,-,"%10,34","%18,52","%31,48"
Rusya,2,-,0,-,%0,-,"%11,11","%18,17","%27,15"
Almanya,1,-,0,-,%0,-,"%8,96","%16,36","%26,47"
İspanya,1,-,0,-,%0,-,"%10,06","%18,49","%30,65"
Birleşik Krallık,1,-,1,-,%100,-,"%10,96",%20,"%32,57"
Irak,1,-,0,-,%0,-,"%12,44","%20,48","%32,4"
Malezya,1,-,0,-,%0,-,"%10,03","%17,56","%28,71"
Hollanda,1,-,0,-,%0,-,"%10,1","%19,02","%31,38"
Filipinler,1,-,0,-,%0,-,"%10,75","%18,41","%29,24"
Polonya,1,-,0,-,%0,-,"%9,19","%16,7","%27,93"
Sırbistan,1,-,0,-,%0,-,"%11,11","%20,13","%34,44"
Vietnam,1,-,0,-,%0,-,"%10,73","%19,23","%31,94"
